bookID,title,authors,average_rating,isbn,isbn13,language_code,  num_pages,ratings_count,text_reviews_count,publication_date,publisher
22,Bill Bryson's African Diary,Bill Bryson,3.44,767915062.0,9780000000000.0,eng,55.0,7270,499,2002-12-03,Broadway Books
23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,3.87,767910435.0,9780000000000.0,eng,256.0,2088,131,2004-09-14,Broadway Books
24,In a Sunburned Country,Bill Bryson,4.07,767903862.0,9780000000000.0,eng,335.0,72451,4245,2001-05-15,Broadway Books
26,The Lost Continent: Travels in Small Town America,Bill Bryson,3.83,60920084.0,9780000000000.0,eng,299.0,45712,2257,1990-08-28,William Morrow Paperbacks
27,Neither Here nor There: Travels in Europe,Bill Bryson,3.86,380713802.0,9780000000000.0,eng,254.0,48701,2238,1993-03-28,William Morrow Paperbacks
28,Notes from a Small Island,Bill Bryson,3.91,380727501.0,9780000000000.0,eng,324.0,80609,3301,1997-05-28,William Morrow Paperbacks
29,The Mother Tongue: English and How It Got That Way,Bill Bryson,3.93,380715430.0,9780000000000.0,eng,270.0,28489,2085,1991-09-28,William Morrow Paperbacks
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,JRR Tolkien,4.59,345538374.0,9780000000000.0,eng,1728.0,101233,1550,2012-09-25,Ballantine Books
31,The Lord of the Rings (The Lord of the Rings  #1-3),JRR Tolkien,4.5,618517650.0,9780000000000.0,eng,1184.0,1710,91,2004-10-21,Houghton Mifflin Harcourt
34,The Fellowship of the Ring (The Lord of the Rings  #1),JRR Tolkien,4.36,618346252.0,9780000000000.0,eng,398.0,2128944,13670,2003-09-05,Houghton Mifflin Harcourt
35,The Lord of the Rings (The Lord of the Rings  #1-3),JRR Tolkien and Alan  Lee,4.5,618260587.0,9780000000000.0,en-US,1216.0,1618,140,2002-10-01,Houghton Mifflin Harcourt
36,The Lord of the Rings: Weapons and Warfare,Chris   Smith and Christopher  Lee and Richard Taylor,4.53,618391002.0,9780000000000.0,eng,218.0,19822,46,2003-11-05,Houghton Mifflin Harcourt
37,The Lord of the Rings: Complete Visual Companion,Jude Fisher,4.5,618510826.0,9780000000000.0,eng,224.0,359,6,2004-11-15,Houghton Mifflin Harcourt
50,Hatchet (Brian's Saga  #1),Gary Paulsen,3.72,689840926.0,9780000000000.0,eng,208.0,270244,12017,2000-04-01,Atheneum Books for Young Readers: Richard Jackson Books
51,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes and Edward Sciranko and Keith Vasconcelles,4.0,1557344493.0,9780000000000.0,eng,48.0,36,2,1994-08-28,Teacher Created Resources
53,Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,3.88,385326505.0,9780000000000.0,eng,144.0,2067,334,2001-01-23,Delacorte Press
54,Molly Hatchet - 5 of the Best,Molly Hatchet,4.33,1575606240.0,9780000000000.0,eng,56.0,6,0,2003-06-10,Cherry Lane Music Company
55,Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,3.45,1595580271.0,9780000000000.0,en-US,228.0,99,16,2005-11-01,The New Press
57,A Changeling for All Seasons (Changeling Seasons #1),Angela Knight and Sahara Kelly and Judy Mays and Marteeka Karland and Kate Douglas and Shelby Morgen and Lacey Savage and Kate Hill and Willa Okati,3.76,1595962808.0,9780000000000.0,eng,304.0,167,4,2005-11-01,Changeling Press
58,Changeling (Changeling  #1),Delia Sherman,3.6,670059676.0,9780000000000.0,eng,256.0,978,111,2006-08-17,Viking Juvenile
59,The Changeling Sea,Patricia A McKillip,4.06,141312629.0,9780000000000.0,eng,137.0,4454,302,2003-04-14,Firebird
61,The Changeling,Zilpha Keatley Snyder,4.17,595321801.0,9780000000000.0,eng,228.0,1176,96,2004-06-08,iUniverse
63,The Changeling,Kate Horsley,3.55,1590301943.0,9780000000000.0,eng,339.0,301,43,2005-04-12,Shambhala
66,The Changeling (Daughters of England  #15),Philippa Carr,3.98,449146979.0,9780000000000.0,eng,369.0,345,12,1990-08-28,Ivy Books
67,The Known World,Edward P Jones,3.83,61159174.0,9780000000000.0,eng,388.0,29686,2626,2006-08-29,Amistad
69,The Known World,Edward P Jones,3.83,60749911.0,9780000000000.0,eng,576.0,22,3,2004-06-15,Harper
71,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,3.83,273704745.0,9780000000000.0,eng,334.0,1456,82,2006-05-15,FT Press
72,Artesia: Adventures in the Known World,Mark Smylie,4.13,1932386106.0,9780000000000.0,eng,352.0,52,4,2005-12-14,Archaia
74,The John McPhee Reader (John McPhee Reader  #1),John McPhee and William Howarth,4.42,374517193.0,9780000000000.0,eng,416.0,562,37,1982-06-01,Farrar  Straus and Giroux
75,Uncommon Carriers,John McPhee,3.95,374280398.0,9780000000000.0,en-US,248.0,1630,203,2006-05-16,Farrar Straus Giroux
76,Heirs of General Practice,John McPhee,4.17,374519749.0,9780000000000.0,eng,128.0,268,22,1986-04-01,Farrar  Straus and Giroux
77,The Control of Nature,John McPhee,4.24,374522596.0,9780000000000.0,en-US,288.0,3498,305,1990-09-01,Farrar  Straus and Giroux
78,Annals of the Former World,John McPhee,4.34,374518734.0,9780000000000.0,eng,720.0,3115,228,1999-01-06,Farrar  Straus and Giroux
79,Coming Into the Country,John McPhee,4.22,374522871.0,9780000000000.0,eng,448.0,5704,261,1991-04-01,Farrar  Straus and Giroux
80,La Place de la Concorde Suisse,John McPhee,3.92,374519323.0,9780000000000.0,fre,160.0,698,52,1994-04-01,Farrar  Straus and Giroux
81,Giving Good Weight,John McPhee,4.23,374516006.0,9780000000000.0,eng,288.0,542,36,1994-04-01,Farrar  Straus and Giroux
83,Rising from the Plains,John McPhee,4.23,374520658.0,9780000000000.0,eng,208.0,1341,98,1987-11-01,Farrar  Straus and Giroux
85,The Heidi Chronicles,Wendy Wasserstein,3.75,822205106.0,9780000000000.0,eng,81.0,1423,70,2002-03-01,Dramatists Play Service
86,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,3.84,679734996.0,9780000000000.0,eng,249.0,2766,64,1991-07-02,Vintage
89,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,3.94,1596670231.0,9780000000000.0,eng,138.0,31,1,2006-03-29,Routledge
90,Simply Beautiful Beaded Jewelry,Heidi Boyd,3.77,1581807740.0,9780000000000.0,en-US,128.0,62,4,2006-03-14,North Light Books
91,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker and Rolland Baker,4.46,800793617.0,9780000000000.0,eng,192.0,860,53,2003-09-01,Chosen Books
92,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,3.68,871202867.0,9780000000000.0,en-US,108.0,77,2,1997-01-28,Association for Supervision & Curriculum Development
93,Heidi (Heidi  #1-2),Johanna Spyri and Beverly Cleary and Angelo  Rinaldi,3.99,753454947.0,9780000000000.0,eng,352.0,153317,2257,2002-11-15,Kingfisher
94,Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,3.25,871209993.0,9780000000000.0,eng,192.0,55,5,2004-11-15,ASCD
96,There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker and Heidi Baker,4.46,1852402873.0,9780000000000.0,eng,192.0,34,6,2003-04-28,Sovereign World
98,What to Expect the First Year (What to Expect),Heidi Murkoff and Sharon Mazel and Arlene Eisenberg and Sandee Hathaway and Mark D Widome,3.89,761129588.0,9780000000000.0,eng,832.0,11797,659,2003-10-16,Workman Publishing Company
99,The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss and Libby Keatinge,3.82,972016414.0,9780000000000.0,eng,123.0,34,8,2004-05-10,One Hour Entertainment
100,Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,3.78,1581805632.0,9780000000000.0,en-US,128.0,78,4,2004-08-19,North Light Books
103,God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,3.84,441294677.0,9780000000000.0,eng,423.0,2785,166,1987-06-15,Ace Books
105,Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,3.91,441102670.0,9780000000000.0,eng,436.0,38778,568,1987-07-01,Ace Books
106,Dune Messiah (Dune Chronicles #2),Frank Herbert,3.88,441172695.0,9780000000000.0,eng,331.0,97494,2359,1987-07-15,Ace Books
107,Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,4.01,765306476.0,9780000000000.0,en-US,592.0,784,21,2004-07-01,Tor Books
109,Heretics of Dune (Dune Chronicles  #5),Frank Herbert,3.86,399128980.0,9780000000000.0,eng,480.0,272,20,1984-04-16,Putnam
110,The Road to Dune,Frank Herbert and Brian Herbert and Kevin J Anderson,3.88,765353709.0,9780000000000.0,eng,426.0,4789,83,2006-08-29,Tor Science Fiction
117,Heretics of Dune (Dune Chronicles #5),Frank Herbert,3.86,441328008.0,9780000000000.0,eng,471.0,45388,644,1987-08-15,Ace Books
119,The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,4.59,618212906.0,9780000000000.0,eng,192.0,26153,102,2002-06-12,Houghton Mifflin Harcourt
123,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,385732546.0,9780000000000.0,eng,291.0,45,13,2005-09-13,Delacorte Books for Young Readers
129,The Power of One: One Person  One Rule  One Month,John C Maxwell and Stephen R Graves and Thomas G Addington,4.28,785260056.0,9780000000000.0,en-US,256.0,16,1,2004-11-01,Thomas Nelson
130,Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,3.34,471780936.0,9780000000000.0,eng,205.0,174,16,2006-05-19,Wiley
131,The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E Catron,3.67,325001537.0,9780000000000.0,eng,240.0,10,0,2000-02-07,Heinemann Drama
133,eBay for Dummies,Marsha Collier,3.5,470045299.0,9780000000000.0,eng,386.0,111,9,2006-10-30,Wiley
135,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta and Lisa Suttora,3.62,72262788.0,9780000000000.0,eng,260.0,24,0,2006-01-24,McGraw-Hill
137,Starting an eBay Business for Dummies,Marsha Collier,3.55,764569244.0,9780000000000.0,eng,384.0,55,4,2004-09-17,Wiley
138,eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,4.27,471933821.0,9780000000000.0,eng,260.0,9,0,2006-06-06,Wiley
139,ebay Timesaving Techniques for Dummies,Marsha Collier,3.39,764559915.0,9780000000000.0,en-US,391.0,22,1,2004-05-31,Wiley
140,eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,3.89,764584383.0,9780000000000.0,en-US,864.0,17,3,2005-04-25,Wiley
141,Ruby Cookbook,Lucas Carlson and Leonard Richardson,3.84,596523696.0,9780000000000.0,eng,873.0,166,4,2006-07-29,O'Reilly Media
142,Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,4.12,806523492.0,9780000000000.0,eng,240.0,50,5,2005-05-03,Citadel
144,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,4.08,806525363.0,9780000000000.0,eng,206.0,13,2,2005-05-03,Citadel
147,Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,3.48,596527314.0,9780000000000.0,eng,514.0,64,1,2007-01-01,O'Reilly Media
151,Anna Karenina,Leo Tolstoy and Richard Pevear and Larissa Volokhonsky,4.05,143035002.0,9780000000000.0,eng,838.0,16643,1851,2004-05-31,Penguin Classics
152,Anna Karenina,Leo Tolstoy and David Magarshack and Priscilla Meyer,4.05,451528611.0,9780000000000.0,eng,960.0,109420,5696,2002-11-05,Signet
153,Anna Karenina,Leo Tolstoy and Richard Pevear and Larissa Volokhonsky and John Bayley,4.05,140449175.0,9780000000000.0,eng,837.0,2904,309,2003-01-30,Penguin Books
154,CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman and Leo Tolstoy,3.85,822001837.0,9780000000000.0,eng,80.0,16,3,1965-11-26,Cliffs Notes
155,Anna Karenina,Leo Tolstoy and Amy Mandelker and Constance Garnett,4.05,1593080271.0,9780000000000.0,eng,803.0,9564,726,2003-07-01,Barnes & Noble Classics
156,Anna Karenina,Leo Tolstoy and Louise Maude and Aylmer Maude,4.05,486437965.0,9780000000000.0,eng,752.0,474,72,2004-11-23,Dover Publications
157,Anna Karenina,Leo Tolstoy and Constance Garnett and Amy Mandelker,4.05,1593081774.0,9780000000000.0,eng,803.0,303,48,2004-08-26,Barnes & Noble
159,Dinner with Anna Karenina,Gloria Goldreich,2.99,778322270.0,9780000000000.0,eng,360.0,411,65,2006-01-28,Mira Books
160,Tolstoy: Anna Karenina,Anthony Thorlby,4.19,521313252.0,9780000000000.0,eng,128.0,1204,33,1987-11-26,Cambridge University Press
162,Untouchable,Mulk Raj Anand and EM Forster,3.71,140183957.0,9780000000000.0,eng,160.0,3429,279,1990-07-03,Penguin Books
163,The Untouchable,John Banville,3.95,679767479.0,9780000000000.0,eng,367.0,2163,216,1998-06-30,Vintage
164,The Untouchables,Eliot Ness and Oscar Fraley,3.89,1568491980.0,9780000000000.0,eng,256.0,613,31,1996-02-01,Buccaneer Books
165,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,3.82,743270797.0,9780000000000.0,en-US,320.0,308,40,2005-09-27,Scribner
166,Dalit: The Black Untaouchables of India,VT Rajshekar and YN Kly,4.2,932863051.0,9780000000000.0,eng,100.0,10,0,1995-01-28,Clarity Press
168,Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon and Gail Omvedt and Eleanor Zelliot,3.65,742508803.0,9780000000000.0,eng,224.0,16,4,2000-12-20,Rowman & Littlefield Publishers
171,The Evidence-Based Social Work Skills Book,Barry R Cournoyer,3.4,205358624.0,9780000000000.0,eng,216.0,10,0,2003-09-22,Pearson
177,"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",John Carratello and Patty Carratello and Theresa Wright,4.0,1557344035.0,9780000000000.0,eng,48.0,17,0,1991-09-28,Teacher Created Resources
180,Wrinkles in Time,George Smoot and Keay Davidson,4.01,380720442.0,9780000000000.0,eng,360.0,1035,23,1994-10-01,Harper Perennial
181,A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine LEngle,4.0,821925326.0,9780000000000.0,eng,250.0,36,6,2002-05-01,EMC/Paradigm Publishing
201,Una arruga en el tiempo – A Wrinkle in Time,Madeleine LEngle,4.0,606105263.0,9780000000000.0,spa,205.0,6,1,1984-06-01,Turtleback Books
204,The Long Shadow (The Morland Dynasty  #6),Cynthia HarrodEagles,4.12,751506435.0,9780000000000.0,eng,367.0,376,17,1994-06-01,Little  Brown Book Group
207,Long Way Round: Chasing Shadows Across the World,Ewan McGregor and Charley Boorman and Robert Uhlig,3.94,743499344.0,9780000000000.0,en-US,320.0,352,44,2005-11-01,Atria Books
208,A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,3.6,765313405.0,9780000000000.0,eng,331.0,9852,633,2006-03-07,Tor Books
213,New Hope for the Dead (Hoke Mosely #2),Charles Willeford and James Lee Burke,3.9,1400032490.0,9780000000000.0,eng,244.0,821,78,2004-08-10,Vintage Crime/Black Lizard
214,Sideswipe: A Hoke Moseley Novel,Charles Willeford and Lawrence Block,4.05,1400032482.0,9780000000000.0,eng,215.0,731,72,2005-03-08,Vintage Crime/Black Lizard
216,Miami Blues (Hoke Moseley #1),Charles Willeford and Elmore Leonard,3.94,1400032466.0,9780000000000.0,eng,191.0,2897,178,2004-08-10,Vintage Crime/Black Lizard
230,The Burnt Orange Heresy (Vintage Crime/Black Lizard),Charles Willeford,3.89,679732527.0,9780000000000.0,eng,144.0,98,11,1990-10-03,Vintage
231,I am Charlotte Simmons,Tom Wolfe,3.42,312424442.0,9780000000000.0,eng,738.0,20888,1688,2005-08-30,Picador USA
237,Poetry for Young People: Edward Lear,Edward Lear and Laura HuliskaBeith and Edward Mendelson,3.91,806930772.0,9780000000000.0,eng,48.0,66,19,2001-10-01,Sterling
244,The Puffin Book of Nonsense Verse,Quentin Blake,4.02,140366601.0,9780000000000.0,eng,287.0,81,6,1996-10-03,Puffin
245,Henry Miller on Writing,Henry Miller and Thomas H Moore,4.22,811201120.0,9780000000000.0,eng,217.0,981,52,1964-02-01,New Directions Publishing
249,Tropic of Cancer,Henry Miller and Ji Nl,3.68,802131786.0,9780000000000.0,eng,318.0,53206,2376,1994-01-06,Grove Press
250,Tropic of Capricorn,Henry Miller,3.78,802151825.0,9780000000000.0,eng,348.0,14872,459,1994-01-13,Grove Press
251,Nexus (The Rosy Crucifixion  #3),Henry Miller,4.1,802151787.0,9780000000000.0,eng,316.0,3261,58,1994-01-13,Grove Press
252,Sexus (The Rosy Crucifixion  #1),Henry Miller,3.98,802151809.0,9780000000000.0,eng,506.0,7805,251,1994-01-12,Grove Press
253,The Air-Conditioned Nightmare,Henry Miller,3.83,811201066.0,9780000000000.0,eng,292.0,2699,142,1970-01-17,New Directions
264,The Portrait of a Lady,Henry James and Patricia Crick,3.78,141439637.0,9780000000000.0,eng,797.0,61640,1951,2003-09-30,Penguin Classics
269,The Portrait of a Lady,Henry James and Gabriel Brownstein and Mary Cregan,3.78,1593080964.0,9780000000000.0,eng,635.0,392,41,2004-01-16,Barnes  Noble Classics
277,Writing,Marguerite Duras,3.75,1571290532.0,9780000000000.0,eng,91.0,778,44,1999-05-06,Brookline Books
278,The War,Marguerite Duras and Barbara Bray,3.85,1565842219.0,9780000000000.0,eng,192.0,963,65,1994-08-01,The New Press
280,The Ravishing of Lol Stein,Marguerite Duras and Richard Seever,3.66,394743040.0,9780000000000.0,en-US,181.0,2057,128,1986-03-12,Pantheon
285,Love Letters,Kahlil Gibran and Suheil Bushrui and Salma H AlKuzbari,3.68,1851681825.0,9780000000000.0,eng,178.0,203,8,1999-07-01,One World (UK)
290,Jesus the Son of Man,Kahlil Gibran and   ,3.98,394431243.0,9780000000000.0,eng,216.0,1308,82,1995-02-21,Knopf
291,The Broken Wings,Kahlil Gibran and    and Anthony Rizcallah Ferris,3.92,806501901.0,9780000000000.0,eng,132.0,6432,517,2003-03-03,Citadel
295,Treasure Island,Robert Louis Stevenson,3.83,753453800.0,9780000000000.0,eng,311.0,318753,6734,2001-09-15,Kingfisher
296,Treasure Island,Robert Louis Stevenson and Scott McKowen,3.83,1402714572.0,9780000000000.0,en-US,213.0,420,42,2004-10-01,Sterling Children's Books
297,Treasure Island,Robert Louis Stevenson,3.83,1416500294.0,9780000000000.0,eng,245.0,5967,276,2005-06-01,Simon & Schuster
298,Treasure Island,Robert Louis Stevenson and NC Wyeth and Timothy Meis,3.83,689854684.0,9780000000000.0,eng,64.0,104,14,2003-07-01,Atheneum Books for Young Readers
299,Treasure Island,Robert Louis Stevenson and Milo Winter,3.83,517221144.0,9780000000000.0,en-US,272.0,56,4,2002-09-03,Gramercy Books
302,Treasure Island (Great Illustrated Classics),Deidre S Laiken and AJ McAllister and Robert Louis Stevenson,4.05,1577658051.0,9780000000000.0,eng,232.0,91,16,2006-01-31,Abdo Publishing Company
313,100 Years of Lynchings,Ralph Ginzburg,4.61,933121180.0,9780000000000.0,eng,270.0,88,4,1996-11-22,Black Classic Press
324,Cien años de soledad,Gabriel Garca Mrquez,4.07,785950109.0,9780000000000.0,spa,448.0,63,7,1990-01-01,French & European
330,On Beyond Zebra!,Dr Seuss,4.04,394800842.0,9780000000000.0,eng,64.0,2815,164,1955-09-12,Random House Books for Young Readers
332,The Wedding Clause,Debbie Raleigh,3.6,821778250.0,9780000000000.0,eng,256.0,95,13,2005-06-07,Zebra
333,The Zebra Wall,Kevin Henkes,3.44,60733039.0,9780000000000.0,eng,147.0,217,24,2005-02-15,Greenwillow Books
337,El perfume: Historia de un asesino,Patrick Sskind,4.02,8432216062.0,9790000000000.0,spa,239.0,4136,255,2002-06-01,Booket
348,The Door Into Summer,Robert A Heinlein,4.01,345413997.0,9780000000000.0,eng,304.0,17232,649,1997-06-17,Del Rey
350,Stranger in a Strange Land,Robert A Heinlein,3.92,441788386.0,9780000000000.0,eng,528.0,251872,6241,1991-10-01,Ace
354,To Sail Beyond the Sunset,Robert A Heinlein,3.87,441748600.0,9780000000000.0,en-US,434.0,10293,193,1988-06-01,Ace Books
355,Job: A Comedy of Justice,Robert A Heinlein,3.78,345316509.0,9780000000000.0,en-US,439.0,15970,438,1985-10-12,Del Rey
356,Time for the Stars (Heinlein's Juveniles  #10),Robert A Heinlein,3.97,765314932.0,9780000000000.0,eng,256.0,6898,200,2006-08-08,Tor Books
357,The Long Dark Tea-Time of the Soul (Dirk Gently  #2),Douglas Adams,4.06,671742515.0,9780000000000.0,en-US,307.0,67803,1401,1991-02-15,Pocket Books
359,The Salmon of Doubt (Dirk Gently  #3),Douglas Adams,3.93,345455290.0,9780000000000.0,eng,298.0,22091,746,2005-04-26,Del Rey
362,Wish You Were Here: The Official Biography of Douglas Adams,Nick  Webb,4.14,345476514.0,9780000000000.0,eng,368.0,2623,49,2005-12-27,Del Rey
367,Douglas Adams's Starship Titanic,Terry Jones,3.6,345368436.0,9780000000000.0,eng,256.0,885,84,1998-10-27,Ballantine Books
377,Salmon of Doubt: Hitchhiking the Galaxy One Last Time,Douglas Adams and Christopher Cerf,3.93,1417622857.0,9780000000000.0,eng,336.0,5,0,2003-07-01,Turtleback Books
382,The Phantom Tollbooth: A Children's Play in Two Acts,Susan Nanus and Norton Juster,4.13,573650969.0,9780000000000.0,eng,72.0,100,13,2011-01-12,Samuel French  Inc.
385,On Bullshit,Harry G Frankfurt,3.57,691122946.0,9780000000000.0,eng,67.0,9358,995,2005-01-30,Princeton University Press
386,Another Bullshit Night in Suck City,Nick Flynn,3.78,393329402.0,9780000000000.0,eng,347.0,9318,907,2005-09-12,W. W. Norton & Company
394,Lincoln at Gettysburg: The Words That Remade America,Garry Wills,4.14,671867423.0,9780000000000.0,en-US,317.0,120,15,1993-06-12,Simon & Schuster
397,The Gettysburg Address,Abraham Lincoln and Michael McCurdy,4.53,395883970.0,9780000000000.0,eng,32.0,5239,76,1998-02-02,HMH Books for Young Readers
399,Underworld,Don DeLillo,3.92,684848155.0,9780000000000.0,eng,827.0,1505,175,1998-07-09,Scribner
400,Libra,Don DeLillo,3.99,140156046.0,9780000000000.0,eng,480.0,11857,564,1991-05-01,Penguin
403,Americana,Don DeLillo,3.43,140119485.0,9780000000000.0,eng,377.0,393,55,1989-07-06,Penguin Books
404,Running Dog,Don DeLillo,3.43,679722947.0,9780000000000.0,eng,256.0,1356,72,1989-07-17,Vintage Contemporaries
406,Cosmopolis,Don DeLillo,3.22,743244257.0,9780000000000.0,eng,224.0,460,41,2004-04-06,Scribner
407,Great Jones Street,Don DeLillo,3.48,140179178.0,9780000000000.0,eng,272.0,2492,145,1994-01-01,Penguin Books
408,The Names,Don DeLillo,3.64,679722955.0,9780000000000.0,eng,339.0,3100,212,1989-07-17,Vintage
410,V.,Thomas Pynchon,3.96,60930217.0,9780000000000.0,eng,547.0,1415,177,2005-07-05,Harper Perennial Modern Classics
411,The Crying of Lot 49,Thomas Pynchon,3.69,60931671.0,9780000000000.0,eng,152.0,2161,230,1999-04-01,Harper Perennial
412,Gravity's Rainbow,Thomas Pynchon,4.01,140283382.0,9780000000000.0,eng,784.0,762,213,2000-01-01,Penguin Books
413,Mason & Dixon,Thomas Pynchon and Christophe Claro and Brice Matthieussent,4.07,312423209.0,9780000000000.0,eng,773.0,8086,602,2004-01-03,Picador USA
414,Vineland,Thomas Pynchon,3.69,141180633.0,9780000000000.0,en-US,385.0,702,69,1997-09-01,Penguin Classics
415,Gravity's Rainbow,Thomas Pynchon,4.01,143039946.0,9780000000000.0,eng,776.0,29764,2164,2006-10-31,Penguin Books
416,Slow Learner: Early Stories,Thomas Pynchon,3.5,316724432.0,9780000000000.0,eng,193.0,334,34,1985-04-30,Back Bay Books
418,Been Down So Long It Looks Like Up To Me,Richard Faria and Thomas Pynchon,3.8,140189300.0,9780000000000.0,eng,352.0,2473,220,1996-08-29,Penguin Classics
421,The White Album,Joan Didion,4.17,374522219.0,9780000000000.0,eng,222.0,11889,738,1990-10-01,Farrar Straus Giroux
422,A Book of Common Prayer,Joan Didion,3.8,679754865.0,9780000000000.0,eng,272.0,2962,255,1995-04-11,Vintage International
423,Where I Was From,Joan Didion,3.86,679752862.0,9780000000000.0,eng,240.0,2842,292,2004-09-14,Vintage
424,Slouching Towards Bethlehem,Joan Didion,4.21,374521727.0,9780000000000.0,eng,238.0,26934,1825,1990-10-01,Farrar Straus Giroux
425,Democracy,Joan Didion,3.81,679754857.0,9780000000000.0,en-US,234.0,2070,169,1995-04-25,Vintage International
426,We Tell Ourselves Stories in Order to Live: Collected Nonfiction,Joan Didion and John Leonard,4.5,307264874.0,9780000000000.0,eng,1122.0,1564,108,2006-10-17,Everyman's Library
428,Play It As It Lays,Joan Didion and David Thomson,3.87,374529949.0,9780000000000.0,eng,231.0,23656,1706,2005-11-15,Farrar  Straus and Giroux
431,The New York Trilogy,Paul Auster and Art Spiegelman and Luc Sante,3.89,143039830.0,9780000000000.0,eng,308.0,43200,1873,2006-03-28,Penguin Classics
432,City of Glass (The New York Trilogy  #1),Paul Auster,3.79,140097317.0,9780000000000.0,eng,203.0,12410,734,1987-04-07,Penguin Books
435,The Locked Room (The New York Trilogy  #3),Paul Auster,3.89,940650762.0,9780000000000.0,eng,179.0,2998,164,1986-11-01,Sun and Moon Press
